Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,14.864036
2015,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,12.481577
2016,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,12.093526
2017,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,11.219696
2018,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,27.432647
2019,A,0,C,A,N,_L_KG_160104_A2,KG11,PT,8.179524
2007,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,14.014055
2008,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,13.525773
2009,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,12.5
2010,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,5.6182
2011,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,12.006861
2012,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,10.845431
2013,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,11.443015
2014,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,9.732748
2015,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,9.389671
2016,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,10.341767
2017,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,10.013292
2018,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,27.852349
2019,A,0,C,A,N,_L_KG_160104_A2,KG21,PT,13.356461
