Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2017,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,98.0
2018,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,95.2
2019,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,95.586032
2007,A,0,C,A,N,SH_ACS_MCV2,KG,PT,98.8
2008,A,0,C,A,N,SH_ACS_MCV2,KG,PT,99.1
2009,A,0,C,A,N,SH_ACS_MCV2,KG,PT,98.9
2010,A,0,C,A,N,SH_ACS_MCV2,KG,PT,98.3
2011,A,0,C,A,N,SH_ACS_MCV2,KG,PT,97.2
2012,A,0,C,A,N,SH_ACS_MCV2,KG,PT,97.7
2013,A,0,C,A,N,SH_ACS_MCV2,KG,PT,98.666102
2014,A,0,C,A,N,SH_ACS_MCV2,KG,PT,95.6
2015,A,0,C,A,N,SH_ACS_MCV2,KG,PT,99.1
2016,A,0,C,A,N,SH_ACS_MCV2,KG,PT,97.0
2017,A,0,C,A,N,SH_ACS_MCV2,KG,PT,94.7
2018,A,0,C,A,N,SH_ACS_MCV2,KG,PT,96.244215
2019,A,0,C,A,N,SH_ACS_MCV2,KG,PT,97.245414
2007,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,99.2
2008,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,99.0
2009,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,99.9
2010,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,97.2
2011,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,95.7
2012,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,100.0
2013,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,99.9
2014,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,98.9
2015,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,97.6
2016,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,99.9
2017,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,98.7
2018,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,92.454654
2019,A,0,C,A,N,SH_ACS_MCV2,KG05,PT,98.254513
2007,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,97.8
2008,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,99.2
2009,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,98.3
2010,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,98.3
2011,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,100.0
2012,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,99.0
2013,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,99.6
2014,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,91.7
2015,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,100.0
2016,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,95.7
2017,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,88.8
2018,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,93.49863
2019,A,0,C,A,N,SH_ACS_MCV2,KG03,PT,93.035179
2007,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,99.0
2008,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,99.7
2009,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,99.7
2010,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,99.2
2011,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,96.9
2012,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,95.7
2013,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,97.4
2014,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,95.6
2015,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,98.9
2016,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,97.7
2017,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,95.1
2018,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,96.51199
2019,A,0,C,A,N,SH_ACS_MCV2,KG02,PT,97.67698
2007,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,99.4
2008,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,99.1
2009,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,98.9
2010,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,99.5
2011,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,96.7
2012,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,97.6
2013,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,97.3
