Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_6_7,PT,79.9
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_6_7,PT,83.9
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_6_7,PT,82.1
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_6_7,PT,81.4
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q1,,PT,72.5
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q1,,PT,79.3
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q1,,PT,74.7
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q1,,PT,71.6
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q2,,PT,77.3
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q2,,PT,81.9
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q2,,PT,74.8
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q2,,PT,73.0
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q3,,PT,77.7
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q3,,PT,79.4
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q3,,PT,75.4
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q3,,PT,79.8
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q4,,PT,78.2
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q4,,PT,78.7
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q4,,PT,75.5
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q4,,PT,78.6
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q5,,PT,77.7
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q5,,PT,78.6
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q5,,PT,78.0
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,Q5,,PT,77.2
