Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2012,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,141.3
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,72.2
2014,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,4.3
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,27.8
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,22.3
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,12.8
2018,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,1.4
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,6.3
2008,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,1024.9
2009,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,10.9
2010,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,40.5
2011,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,105.0
2012,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,48.1
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,2.9
2014,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,1.1
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,1364.2
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,16.2
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,261.8
2018,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,12.4
2019,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG06,CUR_LCU,2.6
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,12.3
2008,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,4.4
2009,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,24.5
2010,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,22.0
2011,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,3.0
2012,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,49.0
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,6.6
2014,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,1.1
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,8.9
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,76.1
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,14.7
2018,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG07,CUR_LCU,0.7
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,8.4
2010,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,1.7
2011,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,5.6
2012,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,1.7
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,14.1
2014,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,20.0
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,24.4
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,93.2
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,207.5
2018,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,6.1
2019,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG08,CUR_LCU,2.0
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG11,CUR_LCU,32.2
2008,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG11,CUR_LCU,41.5
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG11,CUR_LCU,0.7
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG11,CUR_LCU,44.7
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG11,CUR_LCU,86.8
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG11,CUR_LCU,129.8
2018,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG11,CUR_LCU,856.9
2019,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG11,CUR_LCU,116.0
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG21,CUR_LCU,0.7
2008,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG21,CUR_LCU,0.2
2012,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG21,CUR_LCU,1.1
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG21,CUR_LCU,6.3
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG21,CUR_LCU,139.1
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG21,CUR_LCU,0.3
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG21,CUR_LCU,61.5
2019,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG21,CUR_LCU,0.4
