Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,131.950406
2008,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,117.83137
2009,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,92.340833
2010,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,123.722482
2011,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,103.406938
2012,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,103.832086
2013,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,101.221964
2014,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,110.997582
2015,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,97.00121
2016,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,94.519576
2017,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,101.578366
2018,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,97.346546
2019,A,0,C,A,N,_L_KG_020C01_1B,KG11,PT,105.61571
2007,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,130.503251
2008,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,132.389129
2009,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,91.207604
2010,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,133.714976
2011,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,103.635522
2012,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,106.985188
2013,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,104.5544
2014,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,118.553298
2015,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,93.999692
2016,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,94.914537
2017,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,103.95699
2018,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,98.011361
2019,A,0,C,A,N,_L_KG_020C01_1B,KG21,PT,102.470488
