Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,150.6
2011,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,175.6
2012,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,189.3
2013,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,235.6
2014,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,277.1
2015,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,392.6
2016,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,358.6
2017,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,231.4
2018,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,212.8
2019,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER_BIO,CUR_LCU,197.7
2010,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_RD,CUR_LCU,2.9
2011,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_RD,CUR_LCU,4.3
2012,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_RD,CUR_LCU,4.6
2013,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_RD,CUR_LCU,6.2
2014,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_RD,CUR_LCU,6.7
2015,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_RD,CUR_LCU,7.1
2016,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_RD,CUR_LCU,6.3
2017,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_RD,CUR_LCU,6.3
2019,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_RD,CUR_LCU,1.8
2010,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_NES,CUR_LCU,11.0
2011,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_NES,CUR_LCU,11.2
2012,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_NES,CUR_LCU,9.8
2013,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_NES,CUR_LCU,11.2
2014,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_NES,CUR_LCU,9.6
2017,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_NES,CUR_LCU,163.5
2010,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER,CUR_LCU,6.3
2011,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER,CUR_LCU,2.2
2016,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER,CUR_LCU,2.6
2018,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER,CUR_LCU,7.7
2019,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_OTHER,CUR_LCU,12.2
