Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,ACTIVITY,UNIT_MEASURE,Value
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y35T39,,,PT,23.421118
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y35T39,,,PT,25.0
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y40T44,,,PT,27.540969
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y40T44,,,PT,20.070139
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y40T44,,,PT,21.848723
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y40T44,,,PT,18.519254
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y40T44,,,PT,16.1
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y45T49,,,PT,20.291457
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y45T49,,,PT,15.102517
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y45T49,,,PT,15.28059
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y45T49,,,PT,13.51728
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y45T49,,,PT,11.1
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y50T54,,,PT,12.36359
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y50T54,,,PT,11.302524
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y50T54,,,PT,10.786084
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y50T54,,,PT,12.477862
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y50T54,,,PT,8.6
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y55T59,,,PT,11.393416
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y55T59,,,PT,8.398371
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y55T59,,,PT,10.344861
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y55T59,,,PT,9.489257
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y55T59,,,PT,7.9
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y60T64,,,PT,9.437077
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y60T64,,,PT,14.236349
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y60T64,,,PT,14.339166
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y60T64,,,PT,11.956667
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y60T64,,,PT,8.8
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y65T69,,,PT,5.348356
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y65T69,,,PT,7.617625
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y65T69,,,PT,6.152168
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y65T69,,,PT,4.775939
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y65T69,,,PT,4.2
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y_GE70,,,PT,4.324812
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y_GE70,,,PT,13.929941
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y_GE70,,,PT,10.576621
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y_GE70,,,PT,3.717472
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y_GE70,,,PT,7.3
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,U,,PT,18.096777
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,U,,PT,11.846667
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,U,,PT,13.174611
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,U,,PT,13.0
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,U,,PT,9.7
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,R,,PT,25.484816
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,R,,PT,21.760369
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,R,,PT,20.740757
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,R,,PT,16.9
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,R,,PT,15.2
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_A,PT,29.143908
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_A,PT,24.458297
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_A,PT,22.569518
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_A,PT,21.91768
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_A,PT,14.2
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_B,PT,25.706733
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_B,PT,17.407081
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_B,PT,43.485033
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_B,PT,46.524661
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_B,PT,40.4
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_C,PT,20.686606
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_C,PT,16.804167
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_C,PT,19.252255
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_C,PT,12.973926
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_C,PT,14.3
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_D,PT,10.380818
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_D,PT,6.694579
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_D,PT,16.766198
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_D,PT,9.870001
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_D,PT,10.0
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_E,PT,8.763458
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_E,PT,11.046115
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_E,PT,16.935338
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_E,PT,14.440148
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_E,PT,16.3
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_F,PT,30.479759
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_F,PT,21.910701
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_F,PT,25.189653
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_F,PT,18.342748
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_F,PT,16.1
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_G,PT,17.048203
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_G,PT,13.904379
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_G,PT,12.664883
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_G,PT,12.403591
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_G,PT,11.6
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_H,PT,22.27405
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_H,PT,20.940255
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_H,PT,17.99169
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_H,PT,14.190519
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_H,PT,15.2
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_I,PT,18.21034
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_I,PT,13.950839
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_I,PT,10.454912
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_I,PT,10.100327
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_I,PT,8.9
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_J,PT,23.378289
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_J,PT,12.552141
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_J,PT,7.21763
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_J,PT,7.39829
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_J,PT,2.1
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_K,PT,10.489031
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_K,PT,6.973096
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_K,PT,11.910368
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_K,PT,10.729115
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_K,PT,15.6
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_L,PT,3.934555
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_L,PT,1.56104
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_L,PT,1.876997
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_M,PT,18.961063
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_M,PT,6.415037
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_M,PT,10.733285
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_M,PT,6.187182
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_M,PT,12.6
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_N,PT,13.647895
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_N,PT,9.73944
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_N,PT,17.445705
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_N,PT,10.903917
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_N,PT,10.8
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_O,PT,16.876779
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_O,PT,9.94822
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_O,PT,10.126909
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_O,PT,6.64676
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_O,PT,6.7
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_P,PT,20.413164
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_P,PT,16.145522
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_P,PT,18.57928
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_P,PT,18.915135
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_P,PT,13.2
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_Q,PT,13.310295
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_Q,PT,11.612557
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_Q,PT,15.172329
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_Q,PT,12.026034
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_Q,PT,10.9
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_R,PT,24.880928
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_R,PT,22.865184
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_R,PT,13.457395
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_R,PT,9.968181
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_R,PT,13.3
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_S,PT,14.316551
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_S,PT,10.525974
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_S,PT,9.650244
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_S,PT,9.121616
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_S,PT,6.8
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_T,PT,23.958709
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_T,PT,46.915523
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_T,PT,31.481607
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_T,PT,23.380874
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_T,PT,18.3
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,ISIC4_U,PT,15.599786
