Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2012,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,31.8
2013,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,31.0
2014,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,31.8
2015,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,45.4
2016,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,32.8
2017,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,25.5
2018,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,28.8
2019,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,25.3
2007,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,27.1
2008,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,23.1
2009,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,30.4
2010,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,29.7
2011,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,34.3
2012,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,33.0
2013,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,27.7
2014,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,29.2
2015,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,30.3
2016,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,29.1
2017,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,20.2
2018,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,22.7
2019,A,0,C,A,N,SP_DYN_ADKL,KG04,F,Y15T19,PER_1000_POP,20.8
2007,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,27.1
2008,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,27.1
2009,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,30.4
2010,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,33.0
2011,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,43.2
2012,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,44.0
2013,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,43.4
2014,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,45.8
2015,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,72.3
2016,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,41.6
2017,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,38.5
2018,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,35.2
2019,A,0,C,A,N,SP_DYN_ADKL,KG06,F,Y15T19,PER_1000_POP,37.9
2007,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,39.9
2008,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,38.9
2009,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,46.4
2010,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,48.5
2011,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,59.3
2012,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,58.8
2013,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,61.0
2014,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,58.2
2015,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,36.4
2016,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,41.9
2017,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,34.9
2018,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,37.1
2019,A,0,C,A,N,SP_DYN_ADKL,KG07,F,Y15T19,PER_1000_POP,34.1
2007,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,38.4
2008,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,40.1
2009,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,39.3
2010,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,44.0
2011,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,49.1
2012,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,50.3
2013,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,52.0
2014,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,50.8
2015,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,59.7
2016,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,47.8
2017,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,46.4
2018,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,52.1
2019,A,0,C,A,N,SP_DYN_ADKL,KG08,F,Y15T19,PER_1000_POP,51.0
2007,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,25.9
2008,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,24.8
2009,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,17.9
2010,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,20.4
2011,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,25.3
2012,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,26.0
2013,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,26.6
2014,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,26.5
2015,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,22.1
2016,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,21.4
2017,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,17.4
2018,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,24.3
2019,A,0,C,A,N,SP_DYN_ADKL,KG11,F,Y15T19,PER_1000_POP,28.9
2007,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,24.2
2008,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,26.0
2009,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,23.9
2010,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,27.0
2011,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,36.1
2012,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,43.9
2013,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,46.7
2014,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,54.9
2015,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,52.8
2016,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,52.6
2017,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,51.6
2018,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,65.0
2019,A,0,C,A,N,SP_DYN_ADKL,KG21,F,Y15T19,PER_1000_POP,77.0
