Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2014,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,21.88
2015,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,21.1
2016,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,19.75
2017,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,17.2
2018,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,15.7
2019,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,16.2
2007,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,28.9
2008,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,28.0
2009,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,24.9
2010,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,22.32
2011,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,24.8
2012,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,24.0
2013,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,19.47
2014,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,16.9
2015,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,18.76
2016,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,17.8
2017,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,15.2
2018,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,14.3
2019,A,0,C,A,N,SH_DYN_MORT,KG02,Y0T4,PER_1000_LIVE_BIRTHS,18.3
2007,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,33.9
2008,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,30.1
2009,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,28.0
2010,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,25.0
2011,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,20.1
2012,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,21.7
2013,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,20.2
2014,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,22.58
2015,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,16.77
2016,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,17.9
2017,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,18.2
2018,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,15.1
2019,A,0,C,A,N,SH_DYN_MORT,KG04,Y0T4,PER_1000_LIVE_BIRTHS,12.5
2007,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,34.7
2008,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,29.9
2009,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,26.1
2010,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,24.14
2011,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,21.1
2012,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,19.0
2013,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,17.17
2014,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,14.96
2015,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,14.31
2016,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,12.2
2017,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,11.7
2018,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,11.0
2019,A,0,C,A,N,SH_DYN_MORT,KG06,Y0T4,PER_1000_LIVE_BIRTHS,10.6
2007,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,43.8
2008,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,38.3
2009,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,39.0
2010,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,29.52
2011,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,27.7
2012,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,22.9
2013,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,26.52
2014,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,24.14
2015,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,17.77
2016,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,19.7
2017,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,17.1
2018,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,22.8
2019,A,0,C,A,N,SH_DYN_MORT,KG07,Y0T4,PER_1000_LIVE_BIRTHS,20.6
2007,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,31.6
2008,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,27.4
2009,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,25.1
2010,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,24.2
2011,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,22.6
2012,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,20.8
2013,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,21.22
2014,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,18.55
2015,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,17.08
2016,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,16.45
2017,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,12.9
2018,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,12.7
2019,A,0,C,A,N,SH_DYN_MORT,KG08,Y0T4,PER_1000_LIVE_BIRTHS,13.1
2007,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,36.3
2008,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,34.6
2009,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,32.3
2010,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,28.2
2011,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,26.2
2012,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,24.8
2013,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,25.69
2014,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,28.61
2015,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,26.6
2016,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,25.7
2017,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,26.4
2018,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,25.1
2019,A,0,C,A,N,SH_DYN_MORT,KG11,Y0T4,PER_1000_LIVE_BIRTHS,21.7
2007,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,63.7
2008,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,52.9
2009,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,64.4
2010,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,52.94
2011,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,58.3
2012,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,63.4
2013,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,65.59
2014,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,72.35
2015,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,70.26
2016,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,60.0
2017,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,53.1
2018,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,39.0
2019,A,0,C,A,N,SH_DYN_MORT,KG21,Y0T4,PER_1000_LIVE_BIRTHS,37.2
