Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,ACTIVITY,UNIT_MEASURE,Value
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_G,CUR_LCU,14808.3
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_G,CUR_LCU,16556.2
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_G,CUR_LCU,16022.1
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_G,CUR_LCU,17624.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_G,CUR_LCU,16246.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_G,CUR_LCU,19132.8
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_H,CUR_LCU,9395.1
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_H,CUR_LCU,12164.4
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_H,CUR_LCU,10325.0
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_H,CUR_LCU,15698.9
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_H,CUR_LCU,11036.2
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_H,CUR_LCU,17090.7
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_H,CUR_LCU,13857.9
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_H,CUR_LCU,21369.2
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_H,CUR_LCU,14205.6
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_H,CUR_LCU,22780.0
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_H,CUR_LCU,13837.2
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_H,CUR_LCU,22726.5
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_H,CUR_LCU,16074.1
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_H,CUR_LCU,25482.6
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_H,CUR_LCU,14876.6
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_H,CUR_LCU,25678.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_H,CUR_LCU,15182.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_H,CUR_LCU,24925.1
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_I,CUR_LCU,7487.3
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_I,CUR_LCU,10371.4
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_I,CUR_LCU,10012.7
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_I,CUR_LCU,10772.3
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_I,CUR_LCU,9877.6
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_I,CUR_LCU,11218.6
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_I,CUR_LCU,9314.5
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_I,CUR_LCU,12369.8
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_I,CUR_LCU,9799.1
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_I,CUR_LCU,12729.2
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_I,CUR_LCU,9837.6
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_I,CUR_LCU,13681.8
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_I,CUR_LCU,11401.1
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_I,CUR_LCU,11978.9
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_I,CUR_LCU,12791.0
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_I,CUR_LCU,15929.9
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_I,CUR_LCU,14685.6
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_I,CUR_LCU,17239.9
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_J,CUR_LCU,14988.1
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_J,CUR_LCU,19715.7
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_J,CUR_LCU,15828.9
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_J,CUR_LCU,21524.7
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_J,CUR_LCU,18211.4
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_J,CUR_LCU,24850.9
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_J,CUR_LCU,18929.5
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_J,CUR_LCU,24702.2
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_J,CUR_LCU,19306.4
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_J,CUR_LCU,28211.8
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_J,CUR_LCU,27087.6
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_J,CUR_LCU,24422.4
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_J,CUR_LCU,24367.0
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_J,CUR_LCU,30262.8
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_J,CUR_LCU,26919.8
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_J,CUR_LCU,39038.2
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_J,CUR_LCU,30636.9
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_J,CUR_LCU,36272.2
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_K,CUR_LCU,18256.9
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_K,CUR_LCU,23772.5
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_K,CUR_LCU,19804.3
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_K,CUR_LCU,25192.0
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_K,CUR_LCU,21181.1
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_K,CUR_LCU,26902.3
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_K,CUR_LCU,24106.8
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_K,CUR_LCU,32503.3
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_K,CUR_LCU,24028.0
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_K,CUR_LCU,31556.2
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_K,CUR_LCU,24482.4
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_K,CUR_LCU,32357.0
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_K,CUR_LCU,24810.5
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_K,CUR_LCU,36351.7
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_K,CUR_LCU,28331.0
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_K,CUR_LCU,36192.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_K,CUR_LCU,31556.2
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_K,CUR_LCU,41375.0
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_L,CUR_LCU,6003.0
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_L,CUR_LCU,7571.4
