Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,EDUCATION_LEV,UNIT_MEASURE,Value
2017,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T20,ISCED11_5,PT,19.3
2018,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T20,ISCED11_5,PT,19.9
2019,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T20,ISCED11_5,PT,19.8
2010,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T24,ISCED11_6_7,PT,24.3
2013,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T24,ISCED11_6_7,PT,24.3
2014,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T24,ISCED11_6_7,PT,23.8
2015,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T24,ISCED11_6_7,PT,22.6
2016,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T24,ISCED11_6_7,PT,20.2
2017,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T24,ISCED11_6_7,PT,19.1
2018,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T24,ISCED11_6_7,PT,19.8
2019,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T24,ISCED11_6_7,PT,22.1
2010,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T24,ISCED11_6_7,PT,26.3
2013,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T24,ISCED11_6_7,PT,26.7
2014,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T24,ISCED11_6_7,PT,26.5
2015,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T24,ISCED11_6_7,PT,24.6
2016,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T24,ISCED11_6_7,PT,22.2
2017,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T24,ISCED11_6_7,PT,20.6
2018,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T24,ISCED11_6_7,PT,21.3
2019,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T24,ISCED11_6_7,PT,23.5
2010,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T24,ISCED11_6_7,PT,22.4
2013,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T24,ISCED11_6_7,PT,21.8
2014,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T24,ISCED11_6_7,PT,21.2
2015,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T24,ISCED11_6_7,PT,20.6
2016,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T24,ISCED11_6_7,PT,18.3
2017,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T24,ISCED11_6_7,PT,17.4
2018,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T24,ISCED11_6_7,PT,18.3
2019,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T24,ISCED11_6_7,PT,20.8
