Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2018,A,0,C,A,N,SI_POV_50MI,KG05,,,,B50,PT,12.7
2019,A,0,C,A,N,SI_POV_50MI,KG05,,,,B50,PT,13.1
2015,A,0,C,A,N,SI_POV_50MI,KG03,,,,B50,PT,16.4
2016,A,0,C,A,N,SI_POV_50MI,KG03,,,,B50,PT,16.7
2017,A,0,C,A,N,SI_POV_50MI,KG03,,,,B50,PT,16.7
2018,A,0,C,A,N,SI_POV_50MI,KG03,,,,B50,PT,17.6
2019,A,0,C,A,N,SI_POV_50MI,KG03,,,,B50,PT,17.4
2015,A,0,C,A,N,SI_POV_50MI,KG02,,,,B50,PT,17.2
2016,A,0,C,A,N,SI_POV_50MI,KG02,,,,B50,PT,16.5
2017,A,0,C,A,N,SI_POV_50MI,KG02,,,,B50,PT,17.0
2018,A,0,C,A,N,SI_POV_50MI,KG02,,,,B50,PT,14.7
2019,A,0,C,A,N,SI_POV_50MI,KG02,,,,B50,PT,15.0
2015,A,0,C,A,N,SI_POV_50MI,KG04,,,,B50,PT,31.3
2016,A,0,C,A,N,SI_POV_50MI,KG04,,,,B50,PT,30.8
2017,A,0,C,A,N,SI_POV_50MI,KG04,,,,B50,PT,30.8
2018,A,0,C,A,N,SI_POV_50MI,KG04,,,,B50,PT,31.7
2019,A,0,C,A,N,SI_POV_50MI,KG04,,,,B50,PT,29.0
2015,A,0,C,A,N,SI_POV_50MI,KG06,,,,B50,PT,10.3
2016,A,0,C,A,N,SI_POV_50MI,KG06,,,,B50,PT,6.3
2017,A,0,C,A,N,SI_POV_50MI,KG06,,,,B50,PT,4.2
2018,A,0,C,A,N,SI_POV_50MI,KG06,,,,B50,PT,8.8
2019,A,0,C,A,N,SI_POV_50MI,KG06,,,,B50,PT,7.4
2015,A,0,C,A,N,SI_POV_50MI,KG07,,,,B50,PT,17.6
2016,A,0,C,A,N,SI_POV_50MI,KG07,,,,B50,PT,16.3
2017,A,0,C,A,N,SI_POV_50MI,KG07,,,,B50,PT,17.0
2018,A,0,C,A,N,SI_POV_50MI,KG07,,,,B50,PT,17.6
2019,A,0,C,A,N,SI_POV_50MI,KG07,,,,B50,PT,15.1
2015,A,0,C,A,N,SI_POV_50MI,KG08,,,,B50,PT,8.3
2016,A,0,C,A,N,SI_POV_50MI,KG08,,,,B50,PT,9.5
2017,A,0,C,A,N,SI_POV_50MI,KG08,,,,B50,PT,6.0
2018,A,0,C,A,N,SI_POV_50MI,KG08,,,,B50,PT,5.5
2019,A,0,C,A,N,SI_POV_50MI,KG08,,,,B50,PT,5.0
2015,A,0,C,A,N,SI_POV_50MI,KG11,,,,B50,PT,6.3
2016,A,0,C,A,N,SI_POV_50MI,KG11,,,,B50,PT,6.0
2017,A,0,C,A,N,SI_POV_50MI,KG11,,,,B50,PT,5.3
2018,A,0,C,A,N,SI_POV_50MI,KG11,,,,B50,PT,6.8
2019,A,0,C,A,N,SI_POV_50MI,KG11,,,,B50,PT,6.3
2015,A,0,C,A,N,SI_POV_50MI,KG21,,,,B50,PT,4.4
2016,A,0,C,A,N,SI_POV_50MI,KG21,,,,B50,PT,8.8
2017,A,0,C,A,N,SI_POV_50MI,KG21,,,,B50,PT,8.8
2018,A,0,C,A,N,SI_POV_50MI,KG21,,,,B50,PT,10.2
2019,A,0,C,A,N,SI_POV_50MI,KG21,,,,B50,PT,8.3
