Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,Value
2015,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,,PT,20.9
2016,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,,PT,24.1
2017,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,,PT,25.8
2018,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,,PT,27.2
2019,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,,PT,28.8
2013,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,U,PT,34.2
2014,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,U,PT,33.3
2015,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,U,PT,34.6
2016,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,U,PT,38.8
2017,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,U,PT,41.1
2018,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,U,PT,38.9
2019,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,U,PT,39.0
2013,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,R,PT,9.4
2014,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,R,PT,11.1
2015,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,R,PT,12.8
2016,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,R,PT,15.8
2017,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,R,PT,17.7
2018,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,R,PT,18.9
2019,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,R,PT,22.9
2013,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,,PT,19.6
2014,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,,PT,25.7
2015,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,,PT,22.3
2016,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,,PT,26.6
2017,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,,PT,31.6
2018,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,,PT,34.2
2019,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,,PT,35.6
2013,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,U,PT,32.6
2014,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,U,PT,36.8
2015,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,U,PT,17.2
2016,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,U,PT,39.7
2017,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,U,PT,44.8
2018,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,U,PT,50.9
2019,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,U,PT,51.0
2013,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,R,PT,17.5
2014,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,R,PT,23.7
2015,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,R,PT,9.8
2016,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,R,PT,24.3
2017,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,R,PT,29.2
2018,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,R,PT,31.1
2019,A,0,C,A,N,_L_KG_040202_1A,KG04,Y1T6,R,PT,32.9
2013,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,,PT,11.6
2014,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,,PT,13.1
2015,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,,PT,14.3
2016,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,,PT,16.3
2017,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,,PT,17.2
2018,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,,PT,18.2
2019,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,,PT,19.7
2013,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,U,PT,15.0
2014,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,U,PT,16.4
2015,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,U,PT,15.2
2016,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,U,PT,18.1
2017,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,U,PT,17.7
2018,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,U,PT,15.6
2019,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,U,PT,17.0
2013,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,R,PT,11.4
2014,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,R,PT,12.9
2015,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,R,PT,14.2
2016,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,R,PT,16.2
2017,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,R,PT,17.2
2018,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,R,PT,18.4
2019,A,0,C,A,N,_L_KG_040202_1A,KG06,Y1T6,R,PT,19.9
2013,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,,PT,14.4
2014,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,,PT,17.0
2015,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,,PT,20.6
2016,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,,PT,20.8
2017,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,,PT,22.2
2018,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,,PT,24.4
2019,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,,PT,26.4
2013,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,U,PT,49.4
2014,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,U,PT,58.4
2015,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,U,PT,66.1
2016,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,U,PT,65.6
2017,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,U,PT,67.1
2018,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,U,PT,65.9
2019,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,U,PT,65.3
2013,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,R,PT,10.3
2014,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,R,PT,12.3
2015,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,R,PT,15.8
2016,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,R,PT,16.0
2017,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,R,PT,17.3
2018,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,R,PT,19.3
2019,A,0,C,A,N,_L_KG_040202_1A,KG07,Y1T6,R,PT,21.4
2013,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,,PT,12.5
2014,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,,PT,16.0
2015,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,,PT,16.5
2016,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,,PT,18.5
2017,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,,PT,19.3
2018,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,,PT,21.1
2019,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,,PT,21.8
2013,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,U,PT,24.3
2014,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,U,PT,27.6
2015,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,U,PT,26.3
2016,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,U,PT,30.0
2017,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,U,PT,32.3
2018,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,U,PT,33.5
2019,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,U,PT,35.2
2013,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,R,PT,9.3
2014,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,R,PT,12.6
2015,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,R,PT,13.3
2016,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,R,PT,14.9
2017,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,R,PT,15.5
2018,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,R,PT,17.7
2019,A,0,C,A,N,_L_KG_040202_1A,KG08,Y1T6,R,PT,18.4
2013,A,0,C,A,N,_L_KG_040202_1A,KG11,Y1T6,U,PT,31.0
2014,A,0,C,A,N,_L_KG_040202_1A,KG11,Y1T6,U,PT,29.4
2015,A,0,C,A,N,_L_KG_040202_1A,KG11,Y1T6,U,PT,27.9
2016,A,0,C,A,N,_L_KG_040202_1A,KG11,Y1T6,U,PT,28.0
2017,A,0,C,A,N,_L_KG_040202_1A,KG11,Y1T6,U,PT,29.6
2018,A,0,C,A,N,_L_KG_040202_1A,KG11,Y1T6,U,PT,29.5
2019,A,0,C,A,N,_L_KG_040202_1A,KG11,Y1T6,U,PT,28.2
2013,A,0,C,A,N,_L_KG_040202_1A,KG21,Y1T6,U,PT,41.9
2014,A,0,C,A,N,_L_KG_040202_1A,KG21,Y1T6,U,PT,49.7
2015,A,0,C,A,N,_L_KG_040202_1A,KG21,Y1T6,U,PT,48.2
2016,A,0,C,A,N,_L_KG_040202_1A,KG21,Y1T6,U,PT,49.4
2017,A,0,C,A,N,_L_KG_040202_1A,KG21,Y1T6,U,PT,47.9
2018,A,0,C,A,N,_L_KG_040202_1A,KG21,Y1T6,U,PT,48.8
2019,A,0,C,A,N,_L_KG_040202_1A,KG21,Y1T6,U,PT,43.3
