Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,133.108773
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,94.285732
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,133.48734
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,105.19525
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,104.995426
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,103.702848
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,118.268743
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,94.347779
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,95.233819
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,103.296213
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,99.437848
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,106.897463
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,136.022851
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,116.499725
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,90.4746
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,126.103007
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,99.413814
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,105.487767
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,96.74539
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,119.674506
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,92.938571
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,97.869284
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,103.318964
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,97.328443
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Issyk-Kul,Percent,106.659795
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,129.698247
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,110.814902
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,92.921575
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,133.150078
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,103.232521
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,107.926877
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,98.290589
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,114.563967
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,98.213637
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,94.459452
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,100.774043
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,101.660059
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Naryn,Percent,106.016926
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,130.503251
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,132.389129
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,91.207604
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,133.714976
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,103.635522
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,106.985188
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,104.5544
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,118.553298
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,93.999692
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,94.914537
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,109.47206
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,96.104604
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh,Percent,107.312397
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,131.559431
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,117.520012
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,90.950636
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,123.024848
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,105.793162
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,102.033354
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,100.612627
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,116.089417
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,93.146935
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,92.497165
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,104.166923
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,96.802565
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Talas,Percent,106.172057
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,130.314372
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,123.411415
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,94.365695
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,128.672851
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,102.493938
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,103.92528
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,102.312574
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,114.643974
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,95.710818
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,95.89276
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,102.559508
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,96.302209
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Chui,Percent,105.8531
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,131.950406
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,117.83137
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,92.340833
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,123.722482
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,103.406938
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,103.832086
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,101.221964
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,110.997582
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,97.00121
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,94.519576
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,101.578366
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,97.346546
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Bishkek (city),Percent,105.61571
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,130.503251
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,132.389129
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,91.207604
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,133.714976
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,103.635522
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,106.985188
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,104.5544
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,118.553298
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,93.999692
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,94.914537
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,103.95699
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,98.011361
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Osh (city),Percent,102.470488
