Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Economic activity,UNIT_MEASURE,Value
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Information and communication,Local currency,24367.0
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Information and communication,Local currency,30262.8
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Information and communication,Local currency,26919.8
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Information and communication,Local currency,39038.2
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Information and communication,Local currency,30636.9
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Information and communication,Local currency,36272.2
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Financial and insurance activities,Local currency,18256.9
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Financial and insurance activities,Local currency,23772.5
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Financial and insurance activities,Local currency,19804.3
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Financial and insurance activities,Local currency,25192.0
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Financial and insurance activities,Local currency,21181.1
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Financial and insurance activities,Local currency,26902.3
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Financial and insurance activities,Local currency,24106.8
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Financial and insurance activities,Local currency,32503.3
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Financial and insurance activities,Local currency,24028.0
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Financial and insurance activities,Local currency,31556.2
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Financial and insurance activities,Local currency,24482.4
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Financial and insurance activities,Local currency,32357.0
