Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,117.7
2018,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,121.8
2019,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,133.5
2010,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,82.9
2011,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,57.1
2012,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,57.1
2013,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,57.1
2014,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,57.1
2015,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,57.1
2016,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,57.0
2017,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,57.0
2018,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,57.0
2019,A,0,C,A,N,_L_KG_060402_1,KG21,,M_M3_PER_YR,57.0
