Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,Value
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Chui,1 to 6 years old,Rural,Percent,9.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Chui,1 to 6 years old,Rural,Percent,12.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Chui,1 to 6 years old,Rural,Percent,13.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Chui,1 to 6 years old,Rural,Percent,14.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Chui,1 to 6 years old,Rural,Percent,15.5
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Chui,1 to 6 years old,Rural,Percent,17.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Chui,1 to 6 years old,Rural,Percent,18.4
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Bishkek (city),1 to 6 years old,Urban,Percent,31.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Bishkek (city),1 to 6 years old,Urban,Percent,29.4
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Bishkek (city),1 to 6 years old,Urban,Percent,27.9
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Bishkek (city),1 to 6 years old,Urban,Percent,28.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Bishkek (city),1 to 6 years old,Urban,Percent,29.6
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Bishkek (city),1 to 6 years old,Urban,Percent,29.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Bishkek (city),1 to 6 years old,Urban,Percent,28.2
2013,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Osh (city),1 to 6 years old,Urban,Percent,41.9
2014,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Osh (city),1 to 6 years old,Urban,Percent,49.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Osh (city),1 to 6 years old,Urban,Percent,48.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Osh (city),1 to 6 years old,Urban,Percent,49.4
2017,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Osh (city),1 to 6 years old,Urban,Percent,47.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Osh (city),1 to 6 years old,Urban,Percent,48.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of children who receive preschool education,Osh (city),1 to 6 years old,Urban,Percent,43.3
