Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Economic activity,UNIT_MEASURE,Value
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Water supply; sewerage, waste management and remediation activities","Per 1,000 USD",29.6
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Water supply; sewerage, waste management and remediation activities","Per 1,000 USD",158.6
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Water supply; sewerage, waste management and remediation activities","Per 1,000 USD",31.5
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Water supply; sewerage, waste management and remediation activities","Per 1,000 USD",3.8
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Water supply; sewerage, waste management and remediation activities","Per 1,000 USD",9.7
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",48949.5
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",21396.9
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",12908.2
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",6404.9
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",27832.6
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",15504.6
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",20045.5
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",107007.6
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",25385.8
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",3070.6
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",71859.5
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Construction,"Per 1,000 USD",56015.7
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",56200.3
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",52960.3
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",53484.3
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",64982.6
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",32625.9
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",66575.3
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",37620.0
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",64832.3
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",13231.0
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",30550.6
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",34533.2
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Per 1,000 USD",36144.1
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",15126.3
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",8775.8
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",12167.0
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",36623.8
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",6449.1
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",10062.1
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",6042.6
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",2551.5
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",18.2
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",104.8
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",8726.8
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Transportation and storage,"Per 1,000 USD",18535.7
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",2386.663
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",4782.8
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",8158.1
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",4010.7
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",1759.8
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",473.6
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",219.3
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",38.4
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",2102.5
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",2624.7
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",638.2
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Accommodation and food service activities,"Per 1,000 USD",832.8
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",2449.8
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",13580.1
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",922.5
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",3243.4
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",2642.0
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",3235.3
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",13168.7
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",5699.3
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",1251.0
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",14422.4
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",52603.8
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Information and communication,"Per 1,000 USD",138479.6
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",347140.389
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",250155.9
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",34882.2
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",48145.0
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",42233.9
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",99847.3
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",28495.0
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",411883.8
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",178724.5
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",81475.8
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",53939.5
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Financial and insurance activities,"Per 1,000 USD",62669.5
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",314.1
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",241.2
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",3961.3
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",2567.9
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",3071.3
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",2845.7
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",216.8
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",1.1
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",729.6
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Real estate activities,"Per 1,000 USD",1029.7
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",146708.1692
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",148003.4
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",210779.0
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",169475.1
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",186849.8
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",403375.4
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",228570.3
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",261903.2
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",164965.9
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",132449.4
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",142129.0
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Professional, scientific and technical activities","Per 1,000 USD",309563.2
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",0.2841
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",9.3
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",2.4
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",1.7
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",1083.0
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",17.1
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",11.1
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",0.8
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",65.4
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",123.3
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",76.1
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Administrative and support service activities,"Per 1,000 USD",2246.9
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Education,"Per 1,000 USD",0.3
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Education,"Per 1,000 USD",139.3
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Education,"Per 1,000 USD",12.9
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Education,"Per 1,000 USD",5009.5
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Education,"Per 1,000 USD",11.7
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Education,"Per 1,000 USD",17.3
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Education,"Per 1,000 USD",5.2
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Education,"Per 1,000 USD",6.1
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Education,"Per 1,000 USD",0.8
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Human health and social work activities,"Per 1,000 USD",397.7
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Human health and social work activities,"Per 1,000 USD",395.3
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Human health and social work activities,"Per 1,000 USD",127.2
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Human health and social work activities,"Per 1,000 USD",73.0
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Human health and social work activities,"Per 1,000 USD",8.1
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Human health and social work activities,"Per 1,000 USD",121.8
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Arts, entertainment and recreation","Per 1,000 USD",37.0393
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Arts, entertainment and recreation","Per 1,000 USD",476.6
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Arts, entertainment and recreation","Per 1,000 USD",33.1
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Arts, entertainment and recreation","Per 1,000 USD",141.5
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Arts, entertainment and recreation","Per 1,000 USD",240.4
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Arts, entertainment and recreation","Per 1,000 USD",4712.0
