Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,60 to 69 years old,Percent,1.3
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,60 to 69 years old,Percent,1.6
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,60 to 69 years old,Percent,2.7
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,60 to 69 years old,Percent,1.1
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,70 years old and over,Percent,0.6
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,70 years old and over,Percent,1.6
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,70 years old and over,Percent,2.8
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,70 years old and over,Percent,1.4
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,70 years old and over,Percent,0.9
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,70 years old and over,Percent,0.3
