Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,1.1
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,1.1
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,0.9
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,0.8
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,0.8
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,0.9
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,0.9
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,0.9
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,0.8
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,2.7
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,2.7
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,2.4
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,2.2
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,1.4
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,1.3
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,1.4
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,0.4
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,0.4
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Issyk-Kul,Hectares,0.4
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.5
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.5
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.5
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.5
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.4
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.5
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.6
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.7
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.9
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Naryn,Hectares,1.9
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.3
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.3
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.3
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.3
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.3
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.3
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.4
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.4
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.5
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh,Hectares,0.5
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.7
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.8
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.8
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.5
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.8
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.8
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.8
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.8
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.8
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Talas,Hectares,0.7
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,3.0
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,3.0
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,2.8
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,2.3
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,2.2
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,2.1
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,2.1
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,2.1
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,2.1
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Chui,Hectares,2.0
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,5.5
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,5.4
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,5.3
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,5.2
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,5.3
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,5.1
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,5.1
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,5.0
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,4.7
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Bishkek (city),Hectares,4.7
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,4.1
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,4.2
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,4.1
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,4.0
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,3.8
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,3.6
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,3.6
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,3.5
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,3.6
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Osh (city),Hectares,0.3
