Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,966.4
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,628.3
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,628.5
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,578.9
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,524.6
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,623.7
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,621.1
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,635.0
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,592.3
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,590.7
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,636.4
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,644.2
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,607.7
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,620.5
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,607.7
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,614.8
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,642.3
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Naryn,,Million of cubic metres per annum,658.5
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1290.3
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1160.5
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1439.2
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1392.6
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1133.0
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1190.1
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1125.2
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1183.5
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1144.2
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh,,Million of cubic metres per annum,1180.8
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,828.8
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,884.7
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,904.0
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,938.2
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,882.9
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,1011.8
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,944.0
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,991.6
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,963.3
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Talas,,Million of cubic metres per annum,1021.3
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,2803.6
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,3138.1
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,4140.0
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,3039.3
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,2833.6
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,2368.2
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,2367.9
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,2500.5
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,2634.0
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Chui,,Million of cubic metres per annum,2707.0
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,135.9
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,113.4
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,114.5
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,115.7
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,118.8
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,113.7
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,113.2
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,117.7
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,121.8
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Bishkek (city),,Million of cubic metres per annum,133.5
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,82.9
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,57.1
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,57.1
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,57.1
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,57.1
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,57.1
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,57.0
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,57.0
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,57.0
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Osh (city),,Million of cubic metres per annum,57.0
