Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation-level footnotes,Value
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,0.0
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,0.0
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,0.0
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,0.0
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,0.0
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,3.535313
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,4.859951
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,3.894563
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,2.081097
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,3.192789
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,1.6887
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,3.126337
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,1.687071
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,0.324149
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Chui,,Percent,,0.162602
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,0.530925
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,1.019328
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,1.168471
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,0.960053
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,0.0
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,0.7844
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,0.0
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,0.0
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,0.328121
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Bishkek (city),,Percent,,0.0
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh (city),,Percent,,3.507063
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh (city),,Percent,,3.102029
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh (city),,Percent,,1.7009
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh (city),,Percent,,0.0
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh (city),,Percent,,1.181299
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh (city),,Percent,,0.556108
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh (city),,Percent,,0.0
