Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,687
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,1108
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,957
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,904
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,1264
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,2422
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,2531
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,2385
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,1974
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,336
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,283
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,461
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,424
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,463
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,482
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,625
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,1435
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,1496
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,1550
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,41 to 50 years old,,,Number,1121
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,131
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,108
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,148
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,137
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,168
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,296
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,256
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,530
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,1014
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,885
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,51 years old and over,,,Number,610
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,264
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,141
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,156
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,222
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,174
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,246
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,276
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,559
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,650
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,818
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Master’s or equivalent level,,Number,728
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,131
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,191
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,164
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,121
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,87
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,173
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,159
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,576
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,585
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,685
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Bachelor’s or equivalent level,,Number,407
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,523
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,495
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,359
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,421
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,483
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,318
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,563
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,1226
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,1035
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,1223
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Short-cycle tertiary education,,Number,1177
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,1101
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,795
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,1072
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,1647
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,1588
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,1839
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,2195
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,4436
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,4793
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,4228
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,Upper secondary education,,Number,3381
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,74
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,167
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,58
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,4
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,7
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,42
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,140
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,208
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,260
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,224
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Education: Other,Number,452
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,533
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,560
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,493
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,478
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,383
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,464
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,646
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,1658
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,1516
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,1818
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Working,Number,1178
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,1384
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,1106
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,1232
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,1814
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,1810
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,1916
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,2428
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,4906
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,5164
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,4681
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Not working,Number,4290
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,82
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,30
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,14
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,36
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,61
