Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,A,0,C,A,N,SL_TLF_UEM,KG05,,,PT,10.9
2016,A,0,C,A,N,SL_TLF_UEM,KG05,,,PT,10.2
2017,A,0,C,A,N,SL_TLF_UEM,KG05,,,PT,9.9
2018,A,0,C,A,N,SL_TLF_UEM,KG05,,,PT,9.0
2019,A,0,C,A,N,SL_TLF_UEM,KG05,,,PT,8.2
2010,A,0,C,A,N,SL_TLF_UEM,KG05,M,,PT,15.8
2013,A,0,C,A,N,SL_TLF_UEM,KG05,M,,PT,18.4
2014,A,0,C,A,N,SL_TLF_UEM,KG05,M,,PT,18.7
2015,A,0,C,A,N,SL_TLF_UEM,KG05,M,,PT,16.5
2016,A,0,C,A,N,SL_TLF_UEM,KG05,M,,PT,15.3
2017,A,0,C,A,N,SL_TLF_UEM,KG05,M,,PT,16.0
2018,A,0,C,A,N,SL_TLF_UEM,KG05,M,,PT,12.2
2019,A,0,C,A,N,SL_TLF_UEM,KG05,M,,PT,11.5
2010,A,0,C,A,N,SL_TLF_UEM,KG05,F,,PT,7.2
2013,A,0,C,A,N,SL_TLF_UEM,KG05,F,,PT,9.8
2014,A,0,C,A,N,SL_TLF_UEM,KG05,F,,PT,9.6
2015,A,0,C,A,N,SL_TLF_UEM,KG05,F,,PT,7.6
2016,A,0,C,A,N,SL_TLF_UEM,KG05,F,,PT,7.1
2017,A,0,C,A,N,SL_TLF_UEM,KG05,F,,PT,6.3
2018,A,0,C,A,N,SL_TLF_UEM,KG05,F,,PT,7.3
2019,A,0,C,A,N,SL_TLF_UEM,KG05,F,,PT,6.7
2010,A,0,C,A,N,SL_TLF_UEM,KG03,,,PT,7.8
2013,A,0,C,A,N,SL_TLF_UEM,KG03,,,PT,8.2
2014,A,0,C,A,N,SL_TLF_UEM,KG03,,,PT,7.6
2015,A,0,C,A,N,SL_TLF_UEM,KG03,,,PT,7.7
2016,A,0,C,A,N,SL_TLF_UEM,KG03,,,PT,7.5
2017,A,0,C,A,N,SL_TLF_UEM,KG03,,,PT,7.2
2018,A,0,C,A,N,SL_TLF_UEM,KG03,,,PT,6.2
2019,A,0,C,A,N,SL_TLF_UEM,KG03,,,PT,5.5
2010,A,0,C,A,N,SL_TLF_UEM,KG03,M,,PT,8.9
2013,A,0,C,A,N,SL_TLF_UEM,KG03,M,,PT,10.3
2014,A,0,C,A,N,SL_TLF_UEM,KG03,M,,PT,10.0
2015,A,0,C,A,N,SL_TLF_UEM,KG03,M,,PT,9.9
2016,A,0,C,A,N,SL_TLF_UEM,KG03,M,,PT,10.3
2017,A,0,C,A,N,SL_TLF_UEM,KG03,M,,PT,10.5
2018,A,0,C,A,N,SL_TLF_UEM,KG03,M,,PT,9.1
2019,A,0,C,A,N,SL_TLF_UEM,KG03,M,,PT,7.9
2010,A,0,C,A,N,SL_TLF_UEM,KG03,F,,PT,7.1
2013,A,0,C,A,N,SL_TLF_UEM,KG03,F,,PT,6.7
2014,A,0,C,A,N,SL_TLF_UEM,KG03,F,,PT,6.0
2015,A,0,C,A,N,SL_TLF_UEM,KG03,F,,PT,6.1
2016,A,0,C,A,N,SL_TLF_UEM,KG03,F,,PT,5.8
2017,A,0,C,A,N,SL_TLF_UEM,KG03,F,,PT,5.3
2018,A,0,C,A,N,SL_TLF_UEM,KG03,F,,PT,4.7
2019,A,0,C,A,N,SL_TLF_UEM,KG03,F,,PT,4.2
2010,A,0,C,A,N,SL_TLF_UEM,KG02,,,PT,10.2
2013,A,0,C,A,N,SL_TLF_UEM,KG02,,,PT,9.5
2014,A,0,C,A,N,SL_TLF_UEM,KG02,,,PT,9.3
2015,A,0,C,A,N,SL_TLF_UEM,KG02,,,PT,9.1
2016,A,0,C,A,N,SL_TLF_UEM,KG02,,,PT,8.9
2017,A,0,C,A,N,SL_TLF_UEM,KG02,,,PT,8.7
2018,A,0,C,A,N,SL_TLF_UEM,KG02,,,PT,8.4
2019,A,0,C,A,N,SL_TLF_UEM,KG02,,,PT,7.8
2010,A,0,C,A,N,SL_TLF_UEM,KG02,M,,PT,10.1
2013,A,0,C,A,N,SL_TLF_UEM,KG02,M,,PT,9.4
2014,A,0,C,A,N,SL_TLF_UEM,KG02,M,,PT,10.1
2015,A,0,C,A,N,SL_TLF_UEM,KG02,M,,PT,9.6
2016,A,0,C,A,N,SL_TLF_UEM,KG02,M,,PT,8.5
2017,A,0,C,A,N,SL_TLF_UEM,KG02,M,,PT,8.0
2018,A,0,C,A,N,SL_TLF_UEM,KG02,M,,PT,4.9
2019,A,0,C,A,N,SL_TLF_UEM,KG02,M,,PT,4.9
2010,A,0,C,A,N,SL_TLF_UEM,KG02,F,,PT,10.3
2013,A,0,C,A,N,SL_TLF_UEM,KG02,F,,PT,9.5
2014,A,0,C,A,N,SL_TLF_UEM,KG02,F,,PT,8.7
2015,A,0,C,A,N,SL_TLF_UEM,KG02,F,,PT,8.7
2016,A,0,C,A,N,SL_TLF_UEM,KG02,F,,PT,9.1
2017,A,0,C,A,N,SL_TLF_UEM,KG02,F,,PT,9.0
2018,A,0,C,A,N,SL_TLF_UEM,KG02,F,,PT,10.2
2019,A,0,C,A,N,SL_TLF_UEM,KG02,F,,PT,9.4
2010,A,0,C,A,N,SL_TLF_UEM,KG04,,,PT,10.3
2013,A,0,C,A,N,SL_TLF_UEM,KG04,,,PT,9.1
2014,A,0,C,A,N,SL_TLF_UEM,KG04,,,PT,9.7
2015,A,0,C,A,N,SL_TLF_UEM,KG04,,,PT,9.3
2016,A,0,C,A,N,SL_TLF_UEM,KG04,,,PT,9.0
2017,A,0,C,A,N,SL_TLF_UEM,KG04,,,PT,8.8
2018,A,0,C,A,N,SL_TLF_UEM,KG04,,,PT,8.8
2019,A,0,C,A,N,SL_TLF_UEM,KG04,,,PT,8.3
2010,A,0,C,A,N,SL_TLF_UEM,KG04,M,,PT,14.7
2013,A,0,C,A,N,SL_TLF_UEM,KG04,M,,PT,14.2
2014,A,0,C,A,N,SL_TLF_UEM,KG04,M,,PT,15.4
2015,A,0,C,A,N,SL_TLF_UEM,KG04,M,,PT,13.7
2016,A,0,C,A,N,SL_TLF_UEM,KG04,M,,PT,14.6
2017,A,0,C,A,N,SL_TLF_UEM,KG04,M,,PT,12.3
2018,A,0,C,A,N,SL_TLF_UEM,KG04,M,,PT,15.0
2019,A,0,C,A,N,SL_TLF_UEM,KG04,M,,PT,11.1
2010,A,0,C,A,N,SL_TLF_UEM,KG04,F,,PT,8.2
2013,A,0,C,A,N,SL_TLF_UEM,KG04,F,,PT,6.8
2014,A,0,C,A,N,SL_TLF_UEM,KG04,F,,PT,7.4
2015,A,0,C,A,N,SL_TLF_UEM,KG04,F,,PT,7.6
2016,A,0,C,A,N,SL_TLF_UEM,KG04,F,,PT,6.6
2017,A,0,C,A,N,SL_TLF_UEM,KG04,F,,PT,7.1
2018,A,0,C,A,N,SL_TLF_UEM,KG04,F,,PT,6.2
2019,A,0,C,A,N,SL_TLF_UEM,KG04,F,,PT,7.1
2010,A,0,C,A,N,SL_TLF_UEM,KG06,,,PT,6.61
2013,A,0,C,A,N,SL_TLF_UEM,KG06,,,PT,6.3
2014,A,0,C,A,N,SL_TLF_UEM,KG06,,,PT,6.6
2015,A,0,C,A,N,SL_TLF_UEM,KG06,,,PT,6.0
2016,A,0,C,A,N,SL_TLF_UEM,KG06,,,PT,5.5
2017,A,0,C,A,N,SL_TLF_UEM,KG06,,,PT,5.1
2018,A,0,C,A,N,SL_TLF_UEM,KG06,,,PT,4.2
2019,A,0,C,A,N,SL_TLF_UEM,KG06,,,PT,3.5
2010,A,0,C,A,N,SL_TLF_UEM,KG06,M,,PT,7.8
2013,A,0,C,A,N,SL_TLF_UEM,KG06,M,,PT,7.4
2014,A,0,C,A,N,SL_TLF_UEM,KG06,M,,PT,7.3
2015,A,0,C,A,N,SL_TLF_UEM,KG06,M,,PT,7.7
2016,A,0,C,A,N,SL_TLF_UEM,KG06,M,,PT,7.1
2017,A,0,C,A,N,SL_TLF_UEM,KG06,M,,PT,7.7
2018,A,0,C,A,N,SL_TLF_UEM,KG06,M,,PT,6.6
2019,A,0,C,A,N,SL_TLF_UEM,KG06,M,,PT,4.3
2010,A,0,C,A,N,SL_TLF_UEM,KG06,F,,PT,5.9
2013,A,0,C,A,N,SL_TLF_UEM,KG06,F,,PT,5.6
2014,A,0,C,A,N,SL_TLF_UEM,KG06,F,,PT,6.0
2015,A,0,C,A,N,SL_TLF_UEM,KG06,F,,PT,4.8
2016,A,0,C,A,N,SL_TLF_UEM,KG06,F,,PT,4.4
2017,A,0,C,A,N,SL_TLF_UEM,KG06,F,,PT,3.5
2018,A,0,C,A,N,SL_TLF_UEM,KG06,F,,PT,2.7
2019,A,0,C,A,N,SL_TLF_UEM,KG06,F,,PT,3.0
2010,A,0,C,A,N,SL_TLF_UEM,KG07,,,PT,5.1
2013,A,0,C,A,N,SL_TLF_UEM,KG07,,,PT,3.7
2014,A,0,C,A,N,SL_TLF_UEM,KG07,,,PT,3.9
2015,A,0,C,A,N,SL_TLF_UEM,KG07,,,PT,3.3
2016,A,0,C,A,N,SL_TLF_UEM,KG07,,,PT,2.8
2017,A,0,C,A,N,SL_TLF_UEM,KG07,,,PT,2.5
2018,A,0,C,A,N,SL_TLF_UEM,KG07,,,PT,2.5
2019,A,0,C,A,N,SL_TLF_UEM,KG07,,,PT,2.5
2010,A,0,C,A,N,SL_TLF_UEM,KG07,M,,PT,5.2
2013,A,0,C,A,N,SL_TLF_UEM,KG07,M,,PT,4.8
2014,A,0,C,A,N,SL_TLF_UEM,KG07,M,,PT,6.5
2015,A,0,C,A,N,SL_TLF_UEM,KG07,M,,PT,5.6
2016,A,0,C,A,N,SL_TLF_UEM,KG07,M,,PT,5.0
2017,A,0,C,A,N,SL_TLF_UEM,KG07,M,,PT,4.6
2018,A,0,C,A,N,SL_TLF_UEM,KG07,M,,PT,3.6
2019,A,0,C,A,N,SL_TLF_UEM,KG07,M,,PT,3.6
2010,A,0,C,A,N,SL_TLF_UEM,KG07,F,,PT,4.9
2013,A,0,C,A,N,SL_TLF_UEM,KG07,F,,PT,2.8
2014,A,0,C,A,N,SL_TLF_UEM,KG07,F,,PT,1.7
2015,A,0,C,A,N,SL_TLF_UEM,KG07,F,,PT,1.3
2016,A,0,C,A,N,SL_TLF_UEM,KG07,F,,PT,1.2
2017,A,0,C,A,N,SL_TLF_UEM,KG07,F,,PT,0.9
2018,A,0,C,A,N,SL_TLF_UEM,KG07,F,,PT,1.7
2019,A,0,C,A,N,SL_TLF_UEM,KG07,F,,PT,1.8
2010,A,0,C,A,N,SL_TLF_UEM,KG08,,,PT,10.2
2013,A,0,C,A,N,SL_TLF_UEM,KG08,,,PT,9.8
2014,A,0,C,A,N,SL_TLF_UEM,KG08,,,PT,8.9
2015,A,0,C,A,N,SL_TLF_UEM,KG08,,,PT,8.6
2016,A,0,C,A,N,SL_TLF_UEM,KG08,,,PT,8.4
2017,A,0,C,A,N,SL_TLF_UEM,KG08,,,PT,8.1
2018,A,0,C,A,N,SL_TLF_UEM,KG08,,,PT,7.3
2019,A,0,C,A,N,SL_TLF_UEM,KG08,,,PT,6.6
2010,A,0,C,A,N,SL_TLF_UEM,KG08,M,,PT,11.4
2013,A,0,C,A,N,SL_TLF_UEM,KG08,M,,PT,10.8
2014,A,0,C,A,N,SL_TLF_UEM,KG08,M,,PT,9.6
2015,A,0,C,A,N,SL_TLF_UEM,KG08,M,,PT,8.2
2016,A,0,C,A,N,SL_TLF_UEM,KG08,M,,PT,8.9
2017,A,0,C,A,N,SL_TLF_UEM,KG08,M,,PT,9.1
2018,A,0,C,A,N,SL_TLF_UEM,KG08,M,,PT,7.4
2019,A,0,C,A,N,SL_TLF_UEM,KG08,M,,PT,7.4
2010,A,0,C,A,N,SL_TLF_UEM,KG08,F,,PT,9.3
2013,A,0,C,A,N,SL_TLF_UEM,KG08,F,,PT,9.1
2014,A,0,C,A,N,SL_TLF_UEM,KG08,F,,PT,8.4
2015,A,0,C,A,N,SL_TLF_UEM,KG08,F,,PT,8.9
2016,A,0,C,A,N,SL_TLF_UEM,KG08,F,,PT,8.0
2017,A,0,C,A,N,SL_TLF_UEM,KG08,F,,PT,7.4
2018,A,0,C,A,N,SL_TLF_UEM,KG08,F,,PT,7.3
2019,A,0,C,A,N,SL_TLF_UEM,KG08,F,,PT,6.1
2010,A,0,C,A,N,SL_TLF_UEM,KG11,,,PT,10.0
2013,A,0,C,A,N,SL_TLF_UEM,KG11,,,PT,9.4
2014,A,0,C,A,N,SL_TLF_UEM,KG11,,,PT,8.9
2015,A,0,C,A,N,SL_TLF_UEM,KG11,,,PT,8.1
2016,A,0,C,A,N,SL_TLF_UEM,KG11,,,PT,7.7
2017,A,0,C,A,N,SL_TLF_UEM,KG11,,,PT,7.3
2018,A,0,C,A,N,SL_TLF_UEM,KG11,,,PT,6.7
2019,A,0,C,A,N,SL_TLF_UEM,KG11,,,PT,5.9
2010,A,0,C,A,N,SL_TLF_UEM,KG11,M,,PT,10.6
2013,A,0,C,A,N,SL_TLF_UEM,KG11,M,,PT,9.7
2014,A,0,C,A,N,SL_TLF_UEM,KG11,M,,PT,9.5
2015,A,0,C,A,N,SL_TLF_UEM,KG11,M,,PT,8.4
2016,A,0,C,A,N,SL_TLF_UEM,KG11,M,,PT,7.6
2017,A,0,C,A,N,SL_TLF_UEM,KG11,M,,PT,7.9
2018,A,0,C,A,N,SL_TLF_UEM,KG11,M,,PT,5.0
2019,A,0,C,A,N,SL_TLF_UEM,KG11,M,,PT,5.5
2010,A,0,C,A,N,SL_TLF_UEM,KG11,F,,PT,9.5
2013,A,0,C,A,N,SL_TLF_UEM,KG11,F,,PT,9.3
2014,A,0,C,A,N,SL_TLF_UEM,KG11,F,,PT,8.4
2015,A,0,C,A,N,SL_TLF_UEM,KG11,F,,PT,7.7
2016,A,0,C,A,N,SL_TLF_UEM,KG11,F,,PT,7.8
2017,A,0,C,A,N,SL_TLF_UEM,KG11,F,,PT,6.7
2018,A,0,C,A,N,SL_TLF_UEM,KG11,F,,PT,8.2
2019,A,0,C,A,N,SL_TLF_UEM,KG11,F,,PT,6.2
2013,A,0,C,A,N,SL_TLF_UEM,KG21,,,PT,4.6
2014,A,0,C,A,N,SL_TLF_UEM,KG21,,,PT,4.2
2015,A,0,C,A,N,SL_TLF_UEM,KG21,,,PT,3.9
2016,A,0,C,A,N,SL_TLF_UEM,KG21,,,PT,3.6
2017,A,0,C,A,N,SL_TLF_UEM,KG21,,,PT,3.5
2018,A,0,C,A,N,SL_TLF_UEM,KG21,,,PT,3.0
2019,A,0,C,A,N,SL_TLF_UEM,KG21,,,PT,2.5
2013,A,0,C,A,N,SL_TLF_UEM,KG21,M,,PT,3.8
2014,A,0,C,A,N,SL_TLF_UEM,KG21,M,,PT,5.2
2015,A,0,C,A,N,SL_TLF_UEM,KG21,M,,PT,5.6
2016,A,0,C,A,N,SL_TLF_UEM,KG21,M,,PT,6.3
2017,A,0,C,A,N,SL_TLF_UEM,KG21,M,,PT,4.5
2018,A,0,C,A,N,SL_TLF_UEM,KG21,M,,PT,3.5
2019,A,0,C,A,N,SL_TLF_UEM,KG21,M,,PT,4.4
2013,A,0,C,A,N,SL_TLF_UEM,KG21,F,,PT,5.0
2014,A,0,C,A,N,SL_TLF_UEM,KG21,F,,PT,3.8
2015,A,0,C,A,N,SL_TLF_UEM,KG21,F,,PT,3.1
2016,A,0,C,A,N,SL_TLF_UEM,KG21,F,,PT,2.5
2017,A,0,C,A,N,SL_TLF_UEM,KG21,F,,PT,3.0
2018,A,0,C,A,N,SL_TLF_UEM,KG21,F,,PT,2.7
2019,A,0,C,A,N,SL_TLF_UEM,KG21,F,,PT,1.5
2010,A,0,C,A,N,SL_TLF_UEM,KG,,Y15T19,PT,19.1
2013,A,0,C,A,N,SL_TLF_UEM,KG,,Y15T19,PT,16.2
2014,A,0,C,A,N,SL_TLF_UEM,KG,,Y15T19,PT,17.7
2015,A,0,C,A,N,SL_TLF_UEM,KG,,Y15T19,PT,17.3
2016,A,0,C,A,N,SL_TLF_UEM,KG,,Y15T19,PT,19.9
2017,A,0,C,A,N,SL_TLF_UEM,KG,,Y15T19,PT,18.3
2018,A,0,C,A,N,SL_TLF_UEM,KG,,Y15T19,PT,13.9
2019,A,0,C,A,N,SL_TLF_UEM,KG,,Y15T19,PT,13.9
2010,A,0,C,A,N,SL_TLF_UEM,KG,,Y20T29,PT,12.4
2013,A,0,C,A,N,SL_TLF_UEM,KG,,Y20T29,PT,10.4
2014,A,0,C,A,N,SL_TLF_UEM,KG,,Y20T29,PT,10.2
2015,A,0,C,A,N,SL_TLF_UEM,KG,,Y20T29,PT,10.5
2016,A,0,C,A,N,SL_TLF_UEM,KG,,Y20T29,PT,10.4
2017,A,0,C,A,N,SL_TLF_UEM,KG,,Y20T29,PT,10.2
2018,A,0,C,A,N,SL_TLF_UEM,KG,,Y20T29,PT,9.5
2019,A,0,C,A,N,SL_TLF_UEM,KG,,Y20T29,PT,9.3
2010,A,0,C,A,N,SL_TLF_UEM,KG,,Y30T39,PT,6.2
2013,A,0,C,A,N,SL_TLF_UEM,KG,,Y30T39,PT,7.2
2014,A,0,C,A,N,SL_TLF_UEM,KG,,Y30T39,PT,6.7
2015,A,0,C,A,N,SL_TLF_UEM,KG,,Y30T39,PT,6.2
2016,A,0,C,A,N,SL_TLF_UEM,KG,,Y30T39,PT,5.9
2017,A,0,C,A,N,SL_TLF_UEM,KG,,Y30T39,PT,5.4
2018,A,0,C,A,N,SL_TLF_UEM,KG,,Y30T39,PT,4.6
2019,A,0,C,A,N,SL_TLF_UEM,KG,,Y30T39,PT,4.0
2010,A,0,C,A,N,SL_TLF_UEM,KG,,Y40T49,PT,5.9
2013,A,0,C,A,N,SL_TLF_UEM,KG,,Y40T49,PT,6.4
2014,A,0,C,A,N,SL_TLF_UEM,KG,,Y40T49,PT,6.7
2015,A,0,C,A,N,SL_TLF_UEM,KG,,Y40T49,PT,5.8
2016,A,0,C,A,N,SL_TLF_UEM,KG,,Y40T49,PT,5.3
2017,A,0,C,A,N,SL_TLF_UEM,KG,,Y40T49,PT,5.3
2018,A,0,C,A,N,SL_TLF_UEM,KG,,Y40T49,PT,4.3
2019,A,0,C,A,N,SL_TLF_UEM,KG,,Y40T49,PT,3.6
2010,A,0,C,A,N,SL_TLF_UEM,KG,,Y50T59,PT,4.8
2013,A,0,C,A,N,SL_TLF_UEM,KG,,Y50T59,PT,6.1
2014,A,0,C,A,N,SL_TLF_UEM,KG,,Y50T59,PT,5.1
2015,A,0,C,A,N,SL_TLF_UEM,KG,,Y50T59,PT,4.2
2016,A,0,C,A,N,SL_TLF_UEM,KG,,Y50T59,PT,3.5
2017,A,0,C,A,N,SL_TLF_UEM,KG,,Y50T59,PT,3.8
2018,A,0,C,A,N,SL_TLF_UEM,KG,,Y50T59,PT,4.2
2019,A,0,C,A,N,SL_TLF_UEM,KG,,Y50T59,PT,3.1
2010,A,0,C,A,N,SL_TLF_UEM,KG,,Y60T69,PT,2.3
2013,A,0,C,A,N,SL_TLF_UEM,KG,,Y60T69,PT,3.2
2014,A,0,C,A,N,SL_TLF_UEM,KG,,Y60T69,PT,2.6
2015,A,0,C,A,N,SL_TLF_UEM,KG,,Y60T69,PT,2.8
2016,A,0,C,A,N,SL_TLF_UEM,KG,,Y60T69,PT,1.3
2017,A,0,C,A,N,SL_TLF_UEM,KG,,Y60T69,PT,1.6
2018,A,0,C,A,N,SL_TLF_UEM,KG,,Y60T69,PT,2.7
2019,A,0,C,A,N,SL_TLF_UEM,KG,,Y60T69,PT,1.1
2010,A,0,C,A,N,SL_TLF_UEM,KG,,Y_GE70,PT,0.6
2013,A,0,C,A,N,SL_TLF_UEM,KG,,Y_GE70,PT,1.6
2014,A,0,C,A,N,SL_TLF_UEM,KG,,Y_GE70,PT,2.8
2015,A,0,C,A,N,SL_TLF_UEM,KG,,Y_GE70,PT,1.4
2016,A,0,C,A,N,SL_TLF_UEM,KG,,Y_GE70,PT,0.9
2017,A,0,C,A,N,SL_TLF_UEM,KG,,Y_GE70,PT,0.3
