Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,98.4
2016,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,89.8
2017,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,124.3
2018,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,105.4
2019,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,125.6
2010,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,99.0
2011,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,97.8
2012,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,99.1
2013,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,98.8
2014,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,95.8
2015,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,97.8
2016,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,123.6
2017,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,172.2
2018,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,119.4
2019,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF08,PT,130.8
2010,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,98.6
2011,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,98.8
2012,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,99.5
2013,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,96.8
2014,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,99.5
2015,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,97.3
2016,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,83.7
2017,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,112.8
2018,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,106.4
2019,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF09,PT,114.1
2010,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,98.8
2011,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,98.7
2012,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,96.2
2013,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,97.8
2014,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,94.9
2015,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,98.4
2016,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,97.2
2017,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,90.5
2018,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,89.4
2019,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF10,PT,90.4
