Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2008,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,15.6
2009,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,13.0
2010,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,10.1
2011,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,9.2
2012,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,8.4
2013,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,11.5
2014,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,7.8
2015,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,9.1
2016,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,8.5
2017,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,8.6
2018,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,5.4
2019,A,0,C,A,N,SH_STA_TRAF,KG11,PER_100000_POP,8.6
2007,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,17.2
2008,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,16.7
2009,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,15.5
2010,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,14.4
2011,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,12.9
2012,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,9.7
2013,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,12.2
2014,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,10.5
2015,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,12.5
2016,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,10.0
2017,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,7.7
2018,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,6.1
2019,A,0,C,A,N,SH_STA_TRAF,KG21,PER_100000_POP,7.8
