Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.169567
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.130728
2018,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.11
2019,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.013155
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,0.009569
2008,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,0.035207
2009,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,0.008456
2010,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,1.65095
2011,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,1.592461
2012,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,1.562362
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,0.741692
2014,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,0.037976
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,0.214395
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,0.157299
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,0.091702
2018,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Naryn,Percent,0.01
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.042933
2008,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,5.639406
2009,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.057255
2010,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.198522
2011,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.369869
2012,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.17834
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.010609
2014,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.00357
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,4.302561
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.049422
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.702855
2018,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.03
2019,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh,Percent,0.005898
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.210978
2008,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.051951
2009,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.405354
2010,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.29974
2011,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.045177
2012,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.518047
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.05949
2014,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.008098
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.061365
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.517318
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.092032
2018,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Talas,Percent,0.0
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.035582
2010,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.005701
2011,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.01326
2012,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.004035
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.029168
2014,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.033948
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.033197
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.118862
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.234678
2018,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.01
2019,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Chui,Percent,0.00233
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Bishkek (city),Percent,0.063779
2008,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Bishkek (city),Percent,0.060758
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Bishkek (city),Percent,0.00051
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Bishkek (city),Percent,0.028178
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Bishkek (city),Percent,0.047988
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Bishkek (city),Percent,0.006461
2018,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Bishkek (city),Percent,0.37
2019,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Bishkek (city),Percent,0.046929
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh (city),Percent,0.01574
2008,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh (city),Percent,0.003371
2012,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh (city),Percent,0.006958
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh (city),Percent,0.034602
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh (city),Percent,0.61872
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh (city),Percent,0.001192
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh (city),Percent,0.202023
2019,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Osh (city),Percent,0.001168
